
sample	lnL(posterior)	lnL(seq)	lnL(times)	lnL(rates)	birth	death	clock	root	tstv	nu	rr0	rr1	rr2	pr0	pr1	pr2	t(calib:CAL1_clade:CLADE1)	t(calib:CAL1_clade:CLADE2)	t(calib:CAL2_clade:CLADE3)	clade(calib:CAL1)	clade(calib:CAL2)	nr0	nr1	nr2	nr3	nr4	nr5	nr6	nr7	nr8	nr9	nr10	nr11	nr12	nr13	nr14	nr15	nr16	nr17	nr18	nr19	nr20	nr21	nr22	nr23	nr24	nr25	nr26	nr27	nr28	nr29	nr30	nr31	nr32	nr33	nr34	nr35	nr36	nr37	nr38	nr39	nr40	nr41	nr42	t22	t23	t24	t25	t26	t27	t28	t29	t30	t31	t32	t33	t34	t35	t36	t37	t38	t39	t40	t41	t42	accRT	tuneRT	accT	tuneT	accClock	tuneClock	accTCr	tuneTCr	accTreeRates	tuneTreeRates	accSprW	tuneSprW	accSpr	tuneSpr	accSprLoc	tuneSprLoc	
     0	 -34893.6	 -34620.9	   -199.0	    -73.8	    0.263153	    0.151137	 0.000673436	     636.042	           4	         0.1	0.06473	0.71203	1.9419	0.0444608	0.697992	0.257547	126.181	28.5995	418.622	CLADE1	CLADE3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13.1602	16.5482	19.4178	28.5995	37.7694	47.8299	54.7458	57.6888	63.1431	66.3107	71.0037	73.9274	79.0411	81.9658	83.5957	86.8931	88.9781	101.389	126.181	418.622	636.042	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	
   100	 -27918.9	 -27647.8	    -97.4	   -173.7	    0.160111	    0.153142	 0.000824529	     316.757	           4	         0.1	0.0566293	6.38394	1.76603	0.719879	0.100593	0.179527	202.122	30.7078	316.757	CLADE1	CLADE3	0.779669	2.06268	1.24929	1.24537	2.69734	2.69734	2.08693	2.08714	2.0712	2.27724	1.98842	1.78609	2.07761	1.77821	2.10191	2.14505	2.08693	1.78609	2.13586	2.10191	1.98674	2.1326	4.47967	30.6847	1.49271	1.52237	0.0594526	23.6856	2.22194	0.867595	4.68437	2.09268	2.60054	1.34855	20.0651	19.9041	2.25387	4.00259	6.3968	0.794109	0.33877	4.78568	1	81.982	23.0817	34.8991	30.7078	62.2052	53.6359	53.4964	86.4235	71.0248	73.0357	73.7916	87.0024	95.3348	95.7695	100.613	44.5159	118.062	133.721	202.122	234.148	316.757	0	1	0	1	0.356436	1.5	0	1	0	1	0	1	0	1	0	1	
   200	 -27099.2	 -26803.2	    -83.6	   -212.4	   0.0621795	   0.0604682	 0.000774433	     341.732	     6.24688	    0.124405	0.05363	6.04582	1.79536	0.719879	0.107865	0.172256	193.489	58.2806	341.732	CLADE2	CLADE3	2.03198	5.37577	3.2559	3.36449	5.14649	5.14649	5.17432	5.43951	5.39797	5.93496	13.6906	4.64208	5.41467	5.29392	5.3084	5.68627	5.17432	4.64208	6.23987	5.47801	5.17937	6.22127	29.9495	80.7568	4.90738	18.7535	0.163907	54.6782	5.45385	3.42573	21.3705	3.30311	6.77755	2.56969	49.1418	51.8742	5.3039	8.62683	10.928	1.12776	0.777078	9.27371	1	102.636	28.897	41.2036	33.5797	82.9857	61.6522	58.4996	96.9126	78.8517	61.3827	80.6929	100.379	104.738	103.862	110.437	48.6792	101.039	58.2806	193.489	235.977	341.732	0	1	0	1	0.356436	1.5	0	1	0	1	0.0192308	0.666667	0	1	0	1	
   300	 -26752.3	 -26450.9	    -84.9	   -216.5	   0.0666407	   0.0583071	 0.000778121	     300.726	     6.24688	    0.129292	0.0573529	6.46552	1.91999	0.725112	0.0947372	0.180151	194.174	194.174	300.726	CLADE2	CLADE3	2.03198	5.37577	3.2559	3.42852	5.88985	5.88985	5.35614	5.37666	5.37866	5.93496	8.98787	4.63939	5.41467	5.33288	5.33077	5.77974	5.35614	4.63939	5.8922	5.56107	5.17937	5.87463	24.2645	81.047	4.37627	9.26209	0.163907	49.7933	5.55481	2.5236	15.7332	4.06937	4.33118	2.04436	26.29	54.9848	6.43414	8.62683	4.04085	1.64114	0.846731	13.0208	1	112.884	29.2639	36.0033	33.5797	78.6334	68.8967	46.5005	94.2152	78.2204	65.0047	82.0403	98.7555	113.405	106.696	115.39	48.6792	86.4019	80.9687	194.174	224.315	300.726	0	1	0	1	0.356436	1.5	0	1	0	1	0.0192308	0.666667	0.144231	0.666667	0.0576923	0.666667	
   400	 -26506.7	 -26223.9	    -81.6	   -201.2	   0.0512412	   0.0320844	  0.00078202	     300.315	     6.24688	    0.129292	0.0690719	7.78662	2.31231	0.746833	0.0663124	0.186855	202.435	202.435	300.315	CLADE2	CLADE3	1.67524	4.57558	3.31754	3.28823	5.44041	5.44041	5.35614	5.47846	5.38076	5.92991	9.03853	5.31989	5.41467	6.68565	5.44236	5.77974	5.35614	4.63544	5.94248	5.57101	5.17937	5.92477	8.82919	96.8566	4.71162	17.1994	2.09993	49.0543	6.17025	2.69982	15.6084	3.95525	3.736	2.23373	27.6746	74.2146	6.44842	8.27969	1.1274	1.38375	0.504178	14.3723	1	114.262	32.5166	38.9775	35.0654	72.4571	63.3098	45.6365	90.0251	77.7011	64.4546	81.7885	83.8621	111.2	97.6676	115.39	37.4891	77.5939	47.1501	202.435	212.193	300.315	0	1	0	1	0.356436	1.5	0	1	0	1	0.0192308	0.444444	0.0673077	0.444444	0.0576923	0.666667	
   500	 -26487.9	 -26207.6	    -69.8	   -210.4	   0.0200264	   0.0127793	 0.000800462	     302.371	     6.21111	    0.129292	0.0634562	7.15354	2.12431	0.718218	0.0707527	0.211029	204.005	204.005	302.371	CLADE2	CLADE3	1.82381	4.98137	3.31754	3.25954	5.23166	5.23166	5.35614	5.47846	5.38076	5.92991	8.96897	5.31989	5.374	6.68565	5.44236	5.77974	5.35614	4.63544	5.96955	5.59458	5.14047	5.95176	11.5692	96.8566	4.90877	17.1994	1.06838	55.6706	6.37932	2.42394	18.0644	4.16085	2.07423	3.22161	34.0636	75.228	6.37753	6.65086	2.05489	1.3699	0.489259	14.3417	1	114.608	32.5166	40.5328	35.0654	70.2093	63.3098	45.6365	90.881	76.7418	69.9136	81.7956	80.1109	112.041	98.1582	115.39	48.0182	83.6589	47.1501	204.005	214.06	302.371	0	1	0	1	0.356436	1.5	0	1	0	1	0.0192308	0.444444	0.0673077	0.444444	0.0480769	0.444444	
   600	 -26246.4	 -25975.5	    -67.8	   -203.0	   0.0179259	  0.00311887	 0.000811166	     302.371	     6.38224	    0.129292	0.0625799	7.05476	2.16041	0.718218	0.0707527	0.211029	199.807	199.807	302.371	CLADE2	CLADE3	1.82381	4.98137	3.10753	3.31829	6.14154	6.14154	5.35614	5.13165	5.36853	5.92991	9.15741	5.3991	5.374	6.77705	5.44236	5.76282	5.35614	4.63544	3.33362	3.12422	5.14047	5.70247	11.5692	95.2816	3.75171	14.2646	1.69898	50.8931	6.31742	2.56964	11.3137	6.01994	3.71723	2.73396	34.0636	64.7097	6.37753	6.72422	2.56356	1.40757	0.453444	13.7515	1	112.654	32.5166	34.5278	43.4241	73.5343	63.3098	48.7207	86.2681	58.4198	72.9699	53.6721	73.0174	112.041	95.4843	115.39	48.0182	76.6728	47.1501	199.807	225.018	302.371	0	1	0	1	0.356436	1.5	0	1	0	1	0.00961539	0.296296	0.0673077	0.444444	0.0480769	0.444444	
   700	 -26204.5	 -25937.5	    -68.2	   -198.8	   0.0175949	  0.00289859	 0.000813482	     300.349	     6.38224	    0.129292	0.0620923	6.99979	2.15473	0.72536	0.0749601	0.19968	199.072	199.072	300.349	CLADE2	CLADE3	1.98012	5.4083	3.02247	3.29285	3.97762	3.97762	5.18589	4.99119	5.20092	5.7676	8.93965	5.4008	5.22691	6.77919	5.29732	5.78843	5.18589	4.50857	2.71549	2.54491	4.99977	5.43402	12.5032	92.6736	5.17034	10.4904	2.74223	54.0007	6.0184	5.03387	12.0446	3.90404	4.23726	2.92705	31.3004	62.8563	6.26881	5.65945	2.22947	1.37566	0.517686	12.9651	1	114.78	40.2871	36.9338	42.2222	69.2863	63.5985	64.9909	87.5464	66.363	76.7355	61.5809	64.3538	112.041	95.6726	118.311	43.0171	82.6309	47.1501	199.072	220.55	300.349	0.19802	0.666667	0	1	0.356436	1.5	0	1	0	1	0.00961539	0.197531	0.0480769	0.296296	0.0288462	0.296296	
   800	 -26200.0	 -25935.6	    -66.9	   -197.5	   0.0124299	  0.00246065	 0.000793825	     302.692	     6.29986	    0.112097	0.0666992	7.51914	2.31459	0.719908	0.0583497	0.221742	201.015	201.015	302.692	CLADE2	CLADE3	2.02812	5.5394	3.02247	3.25369	3.36128	3.36128	5.18589	4.99119	5.20092	5.82571	8.93965	5.4008	5.22691	6.77919	5.29732	6.4634	5.18589	4.55399	2.71549	2.54491	4.99977	5.05554	12.6101	87.5477	5.30735	10.4904	2.98216	54.0007	5.85251	7.71807	11.2264	6.35691	3.99518	2.20516	30.9684	58.183	6.27837	7.56079	2.18053	1.37566	0.439292	13.4012	1	115.831	40.2297	44.0836	42.5868	70.1867	64.1476	59.9491	91.2531	66.9361	83.1925	62.1127	59.7853	113.009	96.4333	138.453	42.3617	79.8751	47.5573	201.015	218.142	302.692	0.19802	0.666667	0	1	0.356436	1.5	0	1	0	1	0.00961539	0.197531	0.0480769	0.296296	0.0288462	0.296296	
   900	 -25913.0	 -25658.1	    -67.6	   -187.2	  0.00802707	  0.00214901	 0.000708638	     308.413	     6.29986	   0.0830806	0.0657375	7.41073	2.28122	0.719908	0.0611606	0.218931	201.696	201.696	308.413	CLADE2	CLADE3	2.16183	5.9046	2.99777	3.30655	3.7041	3.7041	5.18036	4.9504	5.2342	5.97717	9.0981	5.11612	5.22691	6.42185	5.7001	6.46729	5.20297	4.67238	3.0078	2.81887	4.99977	5.03985	23.1305	74.1615	4.77733	14.2303	3.73866	41.8398	3.93943	8.65519	12.5481	6.09687	3.02979	1.88464	30.9684	58.4194	6.11317	6.64779	2.58078	1.4079	0.437737	13.706	1	119.716	41.5124	41.3413	42.8169	70.4817	115.263	71.9015	96.434	66.9462	86.242	61.9442	61.7473	118.639	102.354	137.272	40.2667	82.8148	49.1475	201.696	223.245	308.413	0.19802	0.666667	0	1	0.356436	1.5	0	1	0	1	9.61538E-09	0.131687	0.0480769	0.296296	0.0288462	0.296296	
