Cluster_name	m78	m12	lnLm7	lnLm8	lnLm1	lnLm2	D(m78)	D(m12)	p_value(m78)	p_value(m12)	q_value(m78)	q_value(m12)
21139502	P	P	-7295.478540	-7150.363785	-7297.607902	-7150.365464	290.229510	294.484876	0.000000	0.000000	0.000000	0.000000
20529562	P	P	-6066.854664	-5955.174161	-6070.801324	-5955.323729	223.361006	230.955190	0.000000	0.000000	0.000000	0.000000
21943524	P	P	-10928.269345	-10841.826995	-10928.967461	-10841.844775	172.884700	174.245372	0.000000	0.000000	0.000000	0.000000
20115358	P	P	-10683.245956	-10619.300844	-10683.815871	-10619.315936	127.890224	128.999870	0.000000	0.000000	0.000000	0.000000
21995461	P	P	-3863.972977	-3805.021228	-3867.981868	-3805.021224	117.903498	125.921288	0.000000	0.000000	0.000000	0.000000
19651414	P	P	-4387.020871	-4329.999554	-4387.120669	-4329.999686	114.042634	114.241966	0.000000	0.000000	0.000000	0.000000
22184350	P	P	-1076.401714	-1037.196429	-1076.403956	-1037.106617	78.410570	78.594678	0.000000	0.000000	0.000000	0.000000
21719250	P	P	-2230.154590	-2192.245524	-2230.217801	-2192.224506	75.818132	75.986590	0.000000	0.000000	0.000000	0.000000
19796418	P	P	-2121.640583	-2089.932943	-2121.872672	-2089.933352	63.415280	63.878640	0.000000	0.000000	0.000000	0.000000
20195704	P	P	-3292.418160	-3267.491799	-3296.348395	-3267.493363	49.852722	57.710064	0.000000	0.000000	0.000000	0.000000
19795508	P	P	-562.417247	-538.534480	-562.670452	-538.534475	47.765534	48.271954	0.000000	0.000000	0.000000	0.000000
19651441	P	P	-6030.834756	-6007.158462	-6035.008683	-6007.158453	47.352588	55.700460	0.000000	0.000000	0.000000	0.000000
22063411	P	P	-2420.215634	-2399.552779	-2420.341785	-2399.529728	41.325710	41.624114	0.000000	0.000000	0.000000	0.000000
20461581	P	P	-2686.645175	-2666.085701	-2687.610944	-2666.092679	41.118948	43.036530	0.000000	0.000000	0.000000	0.000000
20975481	P	P	-2151.549551	-2131.257338	-2151.561664	-2134.522946	40.584426	34.077436	0.000000	0.000000	0.000000	0.000000
21769349	P	P	-1173.217133	-1154.883789	-1173.666648	-1154.885587	36.666688	37.562122	0.000000	0.000000	0.000000	0.000000
20117965	P	P	-4429.965181	-4412.281278	-4433.083537	-4413.359496	35.367806	39.448082	0.000000	0.000000	0.000000	0.000000
20439293	P	P	-3609.590028	-3592.503206	-3609.655841	-3592.503204	34.173644	34.305274	0.000000	0.000000	0.000000	0.000000
19340333	P	P	-1807.092699	-1796.427447	-1807.094816	-1796.428258	21.330504	21.333116	0.000023	0.000023	0.000013	0.000011
19416372	P	P	-2866.299237	-2857.349730	-2867.109497	-2857.398464	17.899014	19.422066	0.000130	0.000061	0.000067	0.000028
21586974	P	P	-980.975319	-972.052122	-980.975704	-972.187729	17.846394	17.575950	0.000133	0.000153	0.000067	0.000065
20343633	P	P	-4759.894435	-4751.004056	-4759.995630	-4751.012178	17.780758	17.966904	0.000138	0.000125	0.000067	0.000056
20206217	P	P	-451.839738	-444.519694	-451.847344	-444.508197	14.640088	14.678294	0.000662	0.000650	0.000307	0.000264
20115952	P	P	-1732.690688	-1726.648850	-1732.690688	-1726.661914	12.083676	12.057548	0.002377	0.002408	0.001057	0.000937
21817958	P	P	-1278.321317	-1274.554927	-1278.321479	-1274.555317	7.532780	7.532324	0.023135	0.023141	0.009871	0.008639
20916230	P	P	-1848.160176	-1845.173943	-1848.265229	-1845.173943	5.972466	6.182572	0.050477	0.045443	0.020709	0.015709
19362820	P	n	-2771.505587	-2768.634625	-2771.509058	-2769.707895	5.741924	3.602326	0.056644	0.165110	0.022378	0.050322
22252934	P	P	-2816.216544	-2813.628175	-2817.296097	-2813.627536	5.176738	7.337122	0.075142	0.025513	0.028626	0.009159
19416465	P	P	-2340.627516	-2338.383258	-2340.738342	-2338.386274	4.488516	4.704136	0.106010	0.095172	0.038992	0.031724
19340281	n	n	-888.546027	-886.774050	-888.562969	-886.774049	3.543954	3.577840	0.170000	0.167140	0.060444	0.050322
19416463	n	P	-847.966046	-846.400487	-848.270165	-846.402481	3.131118	3.735368	0.208970	0.154480	0.071904	0.049718
21974818	n	n	-1230.328628	-1228.931938	-1230.401156	-1228.931937	2.793380	2.938438	0.247410	0.230110	0.082470	0.067115
21612445	n	n	-722.017089	-720.692193	-722.089914	-720.692192	2.649792	2.795444	0.265830	0.247160	0.085925	0.069904
21661483	n	n	-1274.852520	-1273.867929	-1274.852682	-1273.875305	1.969182	1.954754	0.373590	0.376300	0.117205	0.103298
20925477	n	n	-833.637237	-832.927805	-833.637237	-832.927805	1.418864	1.418864	0.491920	0.491920	0.149918	0.131179
21148324	n	n	-1808.509100	-1808.103657	-1808.563207	-1808.103924	0.810886	0.918566	0.666680	0.631740	0.192879	0.163784
22006883	n	n	-1948.868856	-1948.466966	-1948.884662	-1948.466966	0.803780	0.835392	0.669050	0.658560	0.192879	0.166123
21711728	n	n	-748.206388	-748.206388	-748.206683	-748.206648	0.000000	0.000070	1.000000	0.999970	0.266667	0.233331
19720906	n	n	-940.026077	-940.026077	-940.027118	-940.026406	0.000000	0.001424	1.000000	0.999290	0.266667	0.233331
19851543	n	n	-474.415391	-474.415412	-474.415399	-474.415389	-0.000042	0.000020	1.000000	0.999990	0.266667	0.233331
